Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Endothelial Cell Migration (GO:0010594)	6/88	5.225599e-06	4.640332e-03	0	0	1.542657e+01	1.876170e+02	FOXC2;SPARC;PTN;APOE;DCN;AGT
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	10/379	2.018694e-05	8.963002e-03	0	0	5.881060e+00	6.357705e+01	IFITM1;FGFBP1;ALDH1A2;OGN;APOD;IGFBP7;NUPR1;APOE;B2M;S100A11
GO_Biological_Process_2023	Response To Cytokine (GO:0034097)	6/125	3.897957e-05	1.153795e-02	0	0	1.061023e+01	1.077200e+02	IFITM3;IFITM1;COL3A1;IFITM2;ALDH1A2;TIMP3
GO_Biological_Process_2023	Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260)	4/43	6.250942e-05	1.386951e-02	0	0	2.121902e+01	2.054042e+02	CD63;VTN;CLU;B2M
GO_Biological_Process_2023	Response To Interferon-Alpha (GO:0035455)	3/17	7.837830e-05	1.386951e-02	0	0	4.393078e+01	4.153200e+02	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Viral Entry Into Host Cell (GO:0046597)	3/18	9.371291e-05	1.386951e-02	0	0	4.100000e+01	3.802863e+02	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Viral Life Cycle (GO:1903901)	3/20	1.299750e-04	1.584551e-02	0	0	3.617283e+01	3.236806e+02	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Protein Homotetramerization (GO:0051289)	4/53	1.427524e-04	1.584551e-02	0	0	1.688010e+01	1.494632e+02	ALDH1A2;AQP4;CLU;B2M
GO_Biological_Process_2023	Positive Regulation Of Membrane Depolarization (GO:1904181)	2/6	3.664322e-04	3.088013e-02	0	0	1.015102e+02	8.031180e+02	MYOC;DCN
GO_Biological_Process_2023	Response To Interferon-Beta (GO:0035456)	3/29	4.032210e-04	3.088013e-02	0	0	2.364076e+01	1.847768e+02	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)	4/70	4.188785e-04	3.088013e-02	0	0	1.252146e+01	9.739107e+01	SPARC;NUPR1;APOE;B2M
GO_Biological_Process_2023	Protein Tetramerization (GO:0051262)	4/73	4.915839e-04	3.088013e-02	0	0	1.197524e+01	9.122593e+01	ALDH1A2;AQP4;CLU;B2M
GO_Biological_Process_2023	Response To Auditory Stimulus (GO:0010996)	2/7	5.113328e-04	3.088013e-02	0	0	8.120408e+01	6.154043e+02	ATP1A2;PTN
GO_Biological_Process_2023	Organic Substance Transport (GO:0071702)	6/201	5.205446e-04	3.088013e-02	0	0	6.450082e+00	4.876671e+01	SLC22A6;SLC47A1;AQP4;AVP;CLU;TPT1
GO_Biological_Process_2023	Positive Regulation Of Endocytosis (GO:0045807)	4/79	6.632467e-04	3.088013e-02	0	0	1.101389e+01	8.060364e+01	VTN;APOE;CLU;B2M
GO_Biological_Process_2023	Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272)	2/8	6.795552e-04	3.088013e-02	0	0	6.766667e+01	4.935655e+02	APOE;PTN
GO_Biological_Process_2023	Angiotensin Maturation (GO:0002003)	2/8	6.795552e-04	3.088013e-02	0	0	6.766667e+01	4.935655e+02	CPA3;CMA1
GO_Biological_Process_2023	Skin Morphogenesis (GO:0043589)	2/8	6.795552e-04	3.088013e-02	0	0	6.766667e+01	4.935655e+02	COL1A1;COL1A2
GO_Biological_Process_2023	Regulation Of Angiotensin Levels In Blood (GO:0002002)	2/8	6.795552e-04	3.088013e-02	0	0	6.766667e+01	4.935655e+02	CPA3;CMA1
GO_Biological_Process_2023	Response To Type II Interferon (GO:0034341)	4/80	6.954983e-04	3.088013e-02	0	0	1.086842e+01	7.902301e+01	IFITM3;IFITM1;IFITM2;AQP4
GO_Biological_Process_2023	Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	3/37	8.329374e-04	3.250807e-02	0	0	1.807095e+01	1.281330e+02	OGN;APOD;APOE
GO_Biological_Process_2023	Type I Interferon-Mediated Signaling Pathway (GO:0060337)	3/37	8.329374e-04	3.250807e-02	0	0	1.807095e+01	1.281330e+02	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Cellular Response To Type I Interferon (GO:0071357)	3/38	9.010657e-04	3.250807e-02	0	0	1.755376e+01	1.230857e+02	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Fatty Acid Transport (GO:0015908)	3/38	9.010657e-04	3.250807e-02	0	0	1.755376e+01	1.230857e+02	SLC22A6;CRABP2;APOE
GO_Biological_Process_2023	Skeletal System Development (GO:0001501)	5/149	9.152048e-04	3.250807e-02	0	0	7.220760e+00	5.051906e+01	COL1A1;COL1A2;MYOC;OGN;ALX4
GO_Biological_Process_2023	Regulation Of Receptor-Mediated Endocytosis (GO:0048259)	3/39	9.726295e-04	3.321904e-02	0	0	1.706529e+01	1.183565e+02	VTN;CLU;B2M
GO_Biological_Process_2023	Supramolecular Fiber Organization (GO:0097435)	7/316	1.050137e-03	3.322462e-02	0	0	4.772140e+00	3.273132e+01	COL1A1;COL3A1;COL1A2;VIM;B2M;MYL9;GFAP
GO_Biological_Process_2023	Negative Regulation Of Hemostasis (GO:1900047)	2/10	1.085038e-03	3.322462e-02	0	0	5.074490e+01	3.463918e+02	VTN;APOE
GO_Biological_Process_2023	Regulation Of Mitochondrial Depolarization (GO:0051900)	2/10	1.085038e-03	3.322462e-02	0	0	5.074490e+01	3.463918e+02	MYOC;DCN
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	3/42	1.208591e-03	3.577428e-02	0	0	1.575020e+01	1.058146e+02	COL1A1;COL3A1;COL1A2
GO_Biological_Process_2023	Regulation Of Muscle System Process (GO:0090257)	2/11	1.321840e-03	3.724914e-02	0	0	4.510431e+01	2.989843e+02	ATP1A2;MYL9
GO_Biological_Process_2023	Bone Development (GO:0060348)	3/44	1.384259e-03	3.724914e-02	0	0	1.498039e+01	9.860976e+01	RANBP3L;MYOC;OGN
GO_Biological_Process_2023	Regulation Of Viral Entry Into Host Cell (GO:0046596)	3/44	1.384259e-03	3.724914e-02	0	0	1.498039e+01	9.860976e+01	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Coagulation (GO:0050819)	2/12	1.581045e-03	4.129318e-02	0	0	4.059184e+01	2.618039e+02	VTN;APOE
GO_Biological_Process_2023	Regulation Of Response To Endoplasmic Reticulum Stress (GO:1905897)	2/13	1.862428e-03	4.664982e-02	0	0	3.689981e+01	2.319476e+02	NUPR1;CLU
GO_Biological_Process_2023	Interferon-Mediated Signaling Pathway (GO:0140888)	3/49	1.891209e-03	4.664982e-02	0	0	1.334872e+01	8.370368e+01	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Cell-Matrix Adhesion (GO:0007160)	4/109	2.190906e-03	5.258174e-02	0	0	7.855159e+00	4.810059e+01	VTN;CD63;COL3A1;FN1
GO_Biological_Process_2023	Negative Regulation Of Viral Genome Replication (GO:0045071)	3/53	2.370205e-03	5.415922e-02	0	0	1.227835e+01	7.421991e+01	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229)	2/15	2.490834e-03	5.415922e-02	0	0	3.121978e+01	1.871669e+02	CLU;TPT1
GO_Biological_Process_2023	Regulation Of Amyloid-Beta Clearance (GO:1900221)	2/15	2.490834e-03	5.415922e-02	0	0	3.121978e+01	1.871669e+02	APOE;CLU
GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)	3/54	2.500595e-03	5.415922e-02	0	0	1.203699e+01	7.211635e+01	OGN;APOD;APOE
GO_Biological_Process_2023	Negative Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090201)	2/16	2.837415e-03	5.477445e-02	0	0	2.898834e+01	1.700126e+02	AVP;CLU
GO_Biological_Process_2023	Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)	2/16	2.837415e-03	5.477445e-02	0	0	2.898834e+01	1.700126e+02	FOXC2;FGFBP1
GO_Biological_Process_2023	Reverse Cholesterol Transport (GO:0043691)	2/16	2.837415e-03	5.477445e-02	0	0	2.898834e+01	1.700126e+02	APOE;CLU
GO_Biological_Process_2023	Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911)	2/16	2.837415e-03	5.477445e-02	0	0	2.898834e+01	1.700126e+02	VTN;S100A11
GO_Biological_Process_2023	Negative Regulation Of Amyloid-Beta Formation (GO:1902430)	2/16	2.837415e-03	5.477445e-02	0	0	2.898834e+01	1.700126e+02	APOE;CLU
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	6/283	2.988578e-03	5.646505e-02	0	0	4.521776e+00	2.628489e+01	COL1A1;IFITM1;RANBP3L;PTN;NBL1;AGT
GO_Biological_Process_2023	Positive Regulation Of Protein Binding (GO:0032092)	3/59	3.218842e-03	5.954858e-02	0	0	1.095950e+01	6.289365e+01	VTN;APOE;B2M
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	3/60	3.376074e-03	6.118273e-02	0	0	1.076668e+01	6.127365e+01	VTN;TIMP3;SERPING1
GO_Biological_Process_2023	Negative Regulation Of Viral Process (GO:0048525)	3/61	3.537937e-03	6.258201e-02	0	0	1.058052e+01	5.971869e+01	IFITM3;IFITM1;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)	2/18	3.594237e-03	6.258201e-02	0	0	2.536224e+01	1.427495e+02	APOE;CLU
GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Migration (GO:0014910)	2/19	4.004046e-03	6.373124e-02	0	0	2.386915e+01	1.317684e+02	VTN;S100A11
GO_Biological_Process_2023	Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	2/19	4.004046e-03	6.373124e-02	0	0	2.386915e+01	1.317684e+02	CD63;DCN
