group,names
0,"['mt-Co2', 'mt-Co1', 'mt-Cytb', 'mt-Nd1', 'mt-Nd4']"
1,"['Camk2n1', 'Nrgn', 'mt-Nd2', 'mt-Cytb', 'Atp1a1']"
2,"['Hbb-bs', 'Hba-a1', 'Uchl1', 'Hba-a2', 'Cpe']"
3,"['mt-Co1', 'Plp1', 'Mbp', 'Fth1', 'Mobp']"
4,"['mt-Co2', 'mt-Co1', 'Ttr', 'Enpp2', 'mt-Cytb']"
5,"['Hbb-bs', 'Ptgds', 'Hba-a1', 'Hba-a2', 'Hbb-bt']"
6,"['Plp1', 'Mbp', 'Fth1', 'Mobp', 'Cnp']"
7,"['Mbp', 'Plp1', 'Fth1', 'Hbb-bs', 'Dbi']"
8,"['mt-Co1', 'mt-Co2', 'mt-Nd1', 'Camk2n1', 'Nrgn']"
9,"['mt-Co1', 'mt-Co2', 'Pmch', 'mt-Cytb', 'mt-Nd1']"
10,"['mt-Co2', 'mt-Co1', 'mt-Cytb', 'mt-Nd4', 'mt-Nd1']"
11,"['Tmsb4x', 'Hpca', 'Nrgn', 'Ppp3ca', 'Ncdn']"
12,"['mt-Co1', 'Pcp4', 'Prkcd', 'Plp1', 'Adarb1']"
13,"['mt-Co2', 'mt-Co1', 'Nrgn', 'mt-Nd1', 'Rtn1']"
14,"['mt-Co1', 'Nrgn', 'Snap25', 'Gapdh', 'Aldoa']"
