,highly_variable
Xkr4,False
Sox17,False
Mrpl15,False
Lypla1,False
Tcea1,False
Rgs20,False
Atp6v1h,False
Oprk1,False
Npbwr1,False
Rb1cc1,False
4732440D04Rik,True
St18,True
Pcmtd1,False
Gm26901,False
Sntg1,False
Rrs1,False
Adhfe1,False
3110035E14Rik,True
Mybl1,False
Vcpip1,False
1700034P13Rik,False
Sgk3,False
Mcmdc2,False
Snhg6,False
Tcf24,False
Ppp1r42,False
Cops5,False
Cspp1,False
Arfgef1,False
Cpa6,False
Prex2,True
A830018L16Rik,False
Sulf1,True
Slco5a1,False
Ncoa2,False
Gm29570,False
Tram1,False
Lactb2,False
Eya1,False
Gm9947,False
Msc,False
Trpa1,False
Kcnb2,False
Terf1,False
Sbspon,False
4930444P10Rik,False
Rpl7,False
Rdh10,False
Stau2,False
Ube2w,False
Eloc,False
Tmem70,False
Ly96,False
Jph1,False
Gdap1,False
Gm28784,False
Pi15,False
Gm28154,False
Gm16070,False
Crispld1,False
Gm28153,False
Gm15825,False
Tfap2b,True
Mcm3,False
6720483E21Rik,False
Paqr8,False
Efhc1,False
Tram2,False
Tmem14a,False
Gsta3,False
Gm28836,False
Kcnq5,False
Rims1,False
Gm29107,True
Ogfrl1,True
B3gat2,False
Smap1,False
Sdhaf4,False
Fam135a,False
Col9a1,True
Col19a1,True
Lmbrd1,False
Adgrb3,False
Phf3,False
Ptp4a1,False
Khdrbs2,False
Prim2,False
Rab23,False
Bag2,False
Zfp451,False
Bend6,False
Dst,False
Gm37233,False
Ccdc115,False
Imp4,False
Ptpn18,False
4930568A12Rik,False
Cfc1,False
Amer3,False
Arhgef4,False
Fam168b,False
Plekhb2,False
1110002O04Rik,False
Hs6st1,False
Gm37335,False
Uggt1,False
Neurl3,True
Arid5a,False
Kansl3,False
Lman2l,False
Cnnm4,False
Cnnm3,False
Ankrd23,False
Ankrd39,False
Sema4c,False
Fam178b,False
Cox5b,False
Actr1b,False
4933424G06Rik,False
Gm33533,True
Zap70,False
Tmem131,False
Vwa3b,False
Gm37020,False
Cnga3,False
Inpp4a,False
Coa5,False
Unc50,False
Mgat4a,False
2010300C02Rik,True
Tsga10,False
Gm26805,False
Lipt1,False
Mitd1,False
Mrpl30,False
Lyg2,False
Txndc9,False
Eif5b,False
Rev1,False
Aff3,False
Gm16150,False
Gm16152,False
Lonrf2,False
Chst10,False
Nms,False
Pdcl3,False
Npas2,False
Rpl31,False
Tbc1d8,False
Cnot11,False
Rnf149,False
Creg2,False
D930019O06Rik,False
Rfx8,False
Map4k4,True
Il1r2,False
Gm16894,False
Il1r1,True
Il1rl2,False
Il1rl1,False
Il18rap,False
Slc9a4,False
Slc9a2,False
Gm37915,False
Mfsd9,False
Tmem182,True
Gm29260,False
Gm28175,False
Pantr1,True
Pou3f3,False
Dalir,False
Mrps9,False
Gpr45,False
Tgfbrap1,False
Gm28782,True
8430432A02Rik,False
AI597479,False
Fhl2,False
Nck2,False
1500015O10Rik,True
Gm29155,False
Gm29157,False
Gm29156,True
Uxs1,False
Tpp2,False
Tex30,False
Kdelc1,False
Bivm,False
Ercc5,False
Gulp1,False
Col3a1,True
Col5a2,False
Wdr75,False
Slc40a1,False
Dnah7b,False
Dnah7c,False
Slc39a10,False
Gm28151,False
Tmeff2,True
Gm28322,True
Gm29325,True
Cavin2,False
Nabp1,False
Myo1b,False
Stat4,False
Gm31812,False
Stat1,False
Gls,False
Nab1,False
Nemp2,False
Mfsd6,False
Inpp1,False
Hibch,False
1700019D03Rik,False
Mstn,False
Pms1,False
Ormdl1,False
Osgepl1,False
Gm28551,False
Asnsd1,False
Dnah7a,False
Stk17b,False
Hecw2,False
Ccdc150,True
Gtf3c3,False
Pgap1,False
Ankrd44,False
Sf3b1,False
Coq10b,False
Hspd1,False
Hspe1,False
Mob4,False
Rftn2,True
Gm10561,False
Mars2,False
Plcl1,True
9130227L01Rik,False
Satb2,True
1700066M21Rik,False
Tyw5,False
Maip1,False
Spats2l,False
Kctd18,False
Sgo2a,False
Aox1,False
Aox3,False
Aox4,False
Bzw1,False
Clk1,False
Ppil3,False
Nif3l1,False
Orc2,False
Gm15834,False
Fam126b,False
Ndufb3,False
Als2cr12,True
Cflar,False
Casp8,False
Trak2,False
Stradb,False
Tmem237,False
G730003C15Rik,False
Mpp4,False
Als2,False
Cdk15,False
Fzd7,True
Gm973,True
Sumo1,False
Nop58,False
Bmpr2,False
Fam117b,False
Ica1l,False
Wdr12,False
Carf,False
Nbeal1,False
Cyp20a1,False
Abi2,False
Raph1,False
Cd28,False
Ctla4,False
Icos,False
Pard3b,False
Nrp2,False
Gm29083,False
Gm4208,False
Ino80d,False
Ino80dos,False
Gm20342,False
Ndufs1,False
Eef1b2,False
Gpr1,False
Zdbf2,False
Adam23,False
Gm39653,False
Mdh1b,False
Fastkd2,False
4933402D24Rik,False
Klf7,False
Gm26649,False
Creb1,False
Mettl21a,False
Ccnyl1,False
Fzd5,True
Plekhm3,False
Cryga,False
D630023F18Rik,False
Idh1,False
Pikfyve,False
Pth2r,False
Map2,False
Unc80,False
Rpe,False
Kansl1l,False
Acadl,False
Myl1,False
Lancl1,False
Cps1,False
Erbb4,False
Ikzf2,False
Spag16,False
Vwc2l,False
Bard1,False
Abca12,False
Atic,False
Fn1,True
Gm4319,False
Mreg,False
D230017M19Rik,False
Pecr,False
Tmem169,False
Xrcc5,False
March4,False
Smarcal1,False
Gm39662,False
Rpl37a,False
Igfbp2,True
Igfbp5,True
6030407O03Rik,False
Tns1,False
Cxcr2,False
Arpc2,False
Aamp,False
Pnkd,False
Tmbim1,True
Catip,False
Slc11a1,False
Ctdsp1,True
Vil1,False
Usp37,False
Cnot9,False
Plcd4,True
Zfp142,False
Bcs1l,False
Rnf25,False
Stk36,False
Ttll4,False
Cyp27a1,False
Wnt6,True
Gm29539,False
Wnt10a,False
Cdk5r2,False
Fev,False
Cryba2,False
Cfap65,False
Ihh,False
Nhej1,False
Slc23a3,False
Cnppd1,False
Retreg2,False
Zfand2b,False
Abcb6,False
Atg9a,False
Ankzf1,False
Glb1l,False
Stk16,False
Tuba4a,False
Dnajb2,False
Ptprn,False
Resp18,True
Dnpep,False
Des,False
Speg,False
Gmppa,False
Asic4,False
Chpf,False
Obsl1,False
Tmem198,False
Inha,False
Stk11ip,False
Slc4a3,False
Gm17751,False
Gm816,True
Epha4,False
Gm28386,False
Pax3,False
Sgpp2,False
Farsb,False
BC035947,False
Mogat1,False
Acsl3,False
Utp14b,False
Kcne4,False
Scg2,True
Ap1s3,False
Wdfy1,False
Mrpl44,False
Serpine2,False
Cul3,False
Dock10,True
Nyap2,False
Irs1,False
Gm9747,False
Rhbdd1,False
Col4a4,False
Col4a3,False
Mff,False
Agfg1,False
A030005L19Rik,False
Slc19a3,False
Daw1,False
Sphkap,False
Pid1,False
