Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),6/51,2.0154987540902773e-07,0.0001493812394878165,0,0,28.163120567375888,434.19727817155456,FKBP1A;CALM3;CALM1;CALM2;CX3CL1;SNCA,0
GO_Biological_Process_2023,Positive Regulation Of Dephosphorylation (GO:0035306),5/29,3.049719828171407e-07,0.0001493812394878165,0,0,43.58771929824562,653.9485543615966,CALM3;DYNLL1;CALM1;CALM2;PPIA,0
GO_Biological_Process_2023,Positive Regulation Of Protein Dephosphorylation (GO:0035307),5/33,5.999246565775764e-07,0.0001493812394878165,0,0,37.35338345864662,535.1418198010953,CALM3;DYNLL1;CALM1;CALM2;PPIA,0
GO_Biological_Process_2023,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),5/33,5.999246565775764e-07,0.0001493812394878165,0,0,37.35338345864662,535.1418198010953,CALM3;CALM1;CALM2;CX3CL1;SNCA,0
GO_Biological_Process_2023,Regulation Of Protein Dephosphorylation (GO:0035304),5/40,1.6178435705615912e-06,0.0003222744392558689,0,0,29.872180451127814,398.3280936503916,CALM3;DYNLL1;CALM1;CALM2;PPIA,0
GO_Biological_Process_2023,Substantia Nigra Development (GO:0021762),5/42,2.075056133137789e-06,0.00034445931810087304,0,0,28.25462304409673,369.7265014059194,BASP1;CALM3;DYNLL1;CALM1;CALM2,0
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),4/20,2.680321068927162e-06,0.00038137139780735046,0,0,51.78125,664.3313770708211,CALM3;ATP1B1;CALM1;CALM2,0
GO_Biological_Process_2023,Positive Regulation Of Phosphatase Activity (GO:0010922),4/22,4.015814340350795e-06,0.00046297744677379976,0,0,46.02314814814815,571.8500607054012,MEF2C;CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316),3/7,4.183531145546383e-06,0.00046297744677379976,0,0,153.83505154639175,1905.147873854126,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060314),4/24,5.788898332949143e-06,0.0005241584308743042,0,0,41.41666666666666,499.4671309916732,FKBP1A;CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010800),4/24,5.788898332949143e-06,0.0005241584308743042,0,0,41.41666666666666,499.4671309916732,MAPK1;CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021),4/27,9.451584250126313e-06,0.000784481492760484,0,0,36.00905797101449,416.60060929912464,CALM3;ATP1B1;CALM1;CALM2,0
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),4/30,1.4590163823584494e-05,0.0011178310129453,0,0,31.84935897435897,354.6478025742392,FKBP1A;CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Response To Metal Ion (GO:0010038),5/64,1.7049836977917738e-05,0.0012099884059072,0,0,17.699375557537913,194.32799152298216,SLC30A3;CALM3;CALM1;CALM2;SNCA,0
GO_Biological_Process_2023,Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051280),3/11,1.943756475353003e-05,0.0012099884059072,0,0,76.9020618556701,834.256871154208,FKBP1A;CALM3;CALM2,0
GO_Biological_Process_2023,Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060315),3/11,1.943756475353003e-05,0.0012099884059072,0,0,76.9020618556701,834.256871154208,FKBP1A;CALM3;CALM2,0
GO_Biological_Process_2023,Regulation Of Cell Communication By Electrical Coupling (GO:0010649),3/12,2.5822694403897266e-05,0.0015129060956636,0,0,68.35395189003437,722.1087027443646,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Contraction (GO:0055117),4/35,2.7346704779035945e-05,0.0015131843311066,0,0,26.705645161290324,280.5939309045606,CALM3;ATP1B1;CALM1;CALM2,0
GO_Biological_Process_2023,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),4/36,3.0647360561549374e-05,0.0016065669010159,0,0,25.869791666666668,268.86381386041506,MAPK1;CALM3;CALM1;CALM2,0
