Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),60/93,1.5650672746082494e-123,8.592219337599287e-121,0,0,903.0454545454544,255354.19716181955,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),60/158,2.0528694933826936e-104,5.635126759335494e-102,0,0,303.09183673469386,72363.05814923604,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),61/183,4.0442853494696096e-102,7.401042189529387e-100,0,0,253.56410256410257,59198.69176081695,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;APOE;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Translation (GO:0006412),61/234,1.8406706094621943e-94,2.5263204114868617e-92,0,0,178.35289758411145,38494.41753983321,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Gene Expression (GO:0010467),60/296,2.4546720751654892e-85,2.6952299385317077e-83,0,0,124.98305084745763,24349.4154024198,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),23/118,9.549751668010776e-31,8.73802277622986e-29,0,0,62.27136021872864,4304.422010768527,RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL38;RPL26;RPS11;RPS13;RPS24;RPS23,9
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),19/84,7.944881639385115e-27,6.231057171460612e-25,0,0,71.57929724596391,4301.720324974697,RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS15A;RPS27;RPS19;RPS11;RPS13;RPS24;RPS23,9
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),22/155,3.451739047822649e-26,2.368755921568293e-24,0,0,41.91960670908039,2457.6767134319266,RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL26;RPS11;RPS13;RPS24;RPS23,9
GO_Biological_Process_2023,rRNA Processing (GO:0006364),14/101,8.527696917033697e-17,5.201895119390555e-15,0,0,37.07324244854317,1371.7332249303145,RPS7;RPS6;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS28;RPS16;RPS27;RPS19;RPL14;RPL26;RPS24,9
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),13/91,7.578583721793992e-16,4.160642463264901e-14,0,0,37.97318007662835,1322.0755722975205,RPS7;RPS6;RPL11;RPL35A;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;RPL14;RPL26;RPS24,9
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),11/50,8.80979729398678e-16,4.3968897403624933e-14,0,0,62.941803514837225,2181.9089044963835,RPS15;RPS14;RPS28;RPS27;RPS19;RPL10;RPS5;RPL11;RPSA;RPL23A;RPL6,9
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),13/100,2.709935832017696e-15,1.239795643148096e-13,0,0,34.029462280354075,1141.4111683404128,RPS7;RPS6;RPL11;RPL35A;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;RPL14;RPL26;RPS24,9
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),7/17,1.1776305932533702e-12,4.973224582277695e-11,0,0,149.70967741935485,4112.153059869295,RPS15;RPS14;RPS28;RPS27;RPS19;RPS5;RPSA,9
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),12/150,1.21006580027504e-11,4.745186602507121e-10,0,0,19.527667984189723,490.8818562278125,RPS15;RPS14;RPS28;RPS27;RPS19;RPL10;RPS5;RPL11;RPL38;RPSA;RPL23A;RPL6,9
GO_Biological_Process_2023,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),6/21,6.853233235378736e-10,2.5082833641486172e-08,0,0,84.61702127659575,1785.5147986513823,RPS15;RPS7;UBB;RPS20;RPL37;RPL17,9
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),7/54,9.224468280382786e-09,3.165145678706343e-07,0,0,31.79386867993594,588.2312819041273,RPL10;RPL11;RPL14;RPL35A;RPL23A;RPL26;RPL6,9
GO_Biological_Process_2023,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",5/30,3.645208180442666e-07,1.177187818272367e-05,0,0,41.8421052631579,620.2959119819114,RPS14;RPS16;RPS19;RPS8;RPS21,9
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),3/5,1.2040164998000132e-06,3.59429439974259e-05,0,0,307.70103092783506,4193.9181292988405,RPS7;UBB;RPL26,9
GO_Biological_Process_2023,Maturation Of SSU-rRNA (GO:0030490),5/38,1.2439270235903315e-06,3.59429439974259e-05,0,0,31.68580542264753,430.8394130944191,RPS14;RPS28;RPS16;RPS19;RPS8,9
GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),5/47,3.6685186157719727e-06,0.00010070083600294064,0,0,24.884711779448622,311.45015021757234,RPS15;RPL11;RPS20;RPL37;RPL17,9
GO_Biological_Process_2023,Ribosomal Large Subunit Assembly (GO:0000027),4/22,4.015814340350795e-06,0.00010498486061202791,0,0,46.02314814814815,571.8500607054012,RPL10;RPL11;RPL23A;RPL6,9
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),3/8,6.669353467633975e-06,0.00016643068426050236,0,0,123.0618556701031,1466.6496741086537,RPS7;RPL11;RPL17,9
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),5/65,1.8397859236857697e-05,0.0004391489009145598,0,0,17.403508771929825,189.75526378900804,RPL30;RPS19;FAU;RPL39;GAPDH,9
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),3/17,7.837829876798801e-05,0.001721187440945,0,0,43.930780559646536,415.3199946350019,RPS7;RPL11;RPL17,9
GO_Biological_Process_2023,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),3/17,7.837829876798801e-05,0.001721187440945,0,0,43.930780559646536,415.3199946350019,RPS7;RPL11;RPL17,9
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),5/100,0.0001460736125883001,0.0030844005119606,0,0,10.97229916897507,96.9007614271628,RPL30;RPS19;FAU;RPL39;GAPDH,9
GO_Biological_Process_2023,Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),3/25,0.00025751452149389134,0.0052361286037091,0,0,27.944704779756325,230.94718074554484,RPS7;RPL11;RPL17,9
GO_Biological_Process_2023,Negative Regulation Of Catabolic Process (GO:0009895),4/72,0.0004664238326160949,0.0091452387180798,0,0,12.151960784313726,93.21059230650977,CST3;RPS7;RPL11;RPL17,9
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902253),2/8,0.0006795551666861537,0.0124358595503566,0,0,67.66666666666667,493.5655481733249,RPS7;UBB,9
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),2/8,0.0006795551666861537,0.0124358595503566,0,0,67.66666666666667,493.5655481733249,UBB;RPS27A,9
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),3/39,0.0009726294551664332,0.0166866740901991,0,0,17.06529209621993,118.35645919802704,UBB;RPS7;RPS3,9
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),3/39,0.0009726294551664332,0.0166866740901991,0,0,17.06529209621993,118.35645919802704,RPS7;RPL11;RPL17,9
GO_Biological_Process_2023,Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058),3/42,0.0012085906045389,0.0201065527846027,0,0,15.750198255352895,105.81456304852416,RPS7;RPL11;RPL17,9
GO_Biological_Process_2023,Negative Regulation Of RNA Metabolic Process (GO:0051253),2/11,0.0013218400851343,0.0213438296099627,0,0,45.10430839002267,298.984305122014,RPS26;RPS13,9
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),8/480,0.0028122069977733,0.0431933624719743,0,0,3.5792188651437,21.023564570958804,RPS4X;RPS7;RPL11;RPS3;RPL26;MT3;GAPDH;RPL17,9
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),4/117,0.0028323516375065,0.0431933624719743,0,0,7.296091445427729,42.803599885378894,CHCHD2;RPS3;PPIA;MT3,9
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),5/202,0.0034679481621673,0.0514568524602662,0,0,5.2639593908629445,29.81607755254039,RPS4X;RPL10;RPS3;RPL26;GAPDH,9
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),5/208,0.0039273092491347,0.0563646424539239,0,0,5.106818771065595,28.290758493941148,RPS7;RPL11;MT3;GAPDH;RPL17,9
GO_Biological_Process_2023,Negative Regulation Of RNA Splicing (GO:0033119),2/19,0.0040040456388033,0.0563646424539239,0,0,23.869147659063625,131.7684366549516,RPS26;RPS13,9
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),3/66,0.0044181514367396,0.0591601253358549,0,0,9.738340697103585,52.80161336369526,CST3;GAPDH;MT3,9
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),3/66,0.0044181514367396,0.0591601253358549,0,0,9.738340697103585,52.80161336369526,RPS3;APOE;MT3,9
GO_Biological_Process_2023,Innate Immune Response In Mucosa (GO:0002227),2/21,0.0048853872583166,0.0638589905908538,0,0,21.354457572502685,113.63788950907964,FAU;RPL39,9
GO_Biological_Process_2023,Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116),2/24,0.0063585473607634,0.0794541315190036,0,0,18.43970315398887,93.26719485343038,CST3;MT3,9
GO_Biological_Process_2023,Negative Regulation Of Protein Metabolic Process (GO:0051248),4/147,0.0063679085370421,0.0794541315190036,0,0,5.756701631701632,29.10867080707759,CST3;RPS3;APOE;GAPDH,9
GO_Biological_Process_2023,Activation Of Protein Kinase B Activity (GO:0032148),2/25,0.0068890740028299,0.0840467028345256,0,0,17.637089618456077,87.79423275712823,MT3;PPIA,9
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),2/28,0.008596207471144,0.1025938674273491,0,0,15.599686028257455,74.19887958363982,FAU;RPL39,9
GO_Biological_Process_2023,Cellular Response To Chemical Stress (GO:0062197),3/89,0.0100963507773187,0.1179339697180421,0,0,7.1256293454807,32.74640846917216,CHCHD2;PPIA;MT3,9
GO_Biological_Process_2023,Negative Regulation Of Amide Metabolic Process (GO:0034249),3/93,0.0113729262286274,0.130077843739926,0,0,6.8075601374570445,30.474176658100003,RPS3;APOE;GAPDH,9
GO_Biological_Process_2023,Platelet Aggregation (GO:0070527),2/35,0.0132279832722483,0.1452432563292868,0,0,12.286332714904145,53.14355844722063,GNAS;PPIA,9
GO_Biological_Process_2023,Regulation Of Axon Extension (GO:0030516),2/35,0.0132279832722483,0.1452432563292868,0,0,12.286332714904145,53.14355844722063,APOE;MT3,9
GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),2/37,0.0147110875878218,0.1583605310924356,0,0,11.583090379008746,48.87083992538764,SPARC;APOE,9
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),3/105,0.0157404409875109,0.1630472094744056,0,0,6.003032140691328,24.92172011518436,UBB;APOE;MT3,9
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),3/105,0.0157404409875109,0.1630472094744056,0,0,6.003032140691328,24.92172011518436,UCHL1;APOE;PPIA,9
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),7/525,0.0162641784016644,0.1653524804169217,0,0,2.816332461493752,11.599882636978435,RPS15;RPS3;RPS20;RPL37;PPIA;GAPDH;RPL17,9
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),4/204,0.0192837703215896,0.1888423461935502,0,0,4.104166666666667,16.205267004279168,RPL30;RPS19;FAU;RPL39,9
GO_Biological_Process_2023,Bone Development (GO:0060348),2/44,0.0204294838615153,0.1888423461935502,0,0,9.649173955296405,37.54277574025534,GNAS;RPL13,9
GO_Biological_Process_2023,Regulation Of Apoptotic Signaling Pathway (GO:2001233),2/45,0.0213109604144821,0.1888423461935502,0,0,9.424299952539156,36.26973658038426,RPS3;PPIA,9
GO_Biological_Process_2023,Homotypic Cell-Cell Adhesion (GO:0034109),2/46,0.0222080432575084,0.1888423461935502,0,0,9.20964749536178,35.063897787087264,GNAS;PPIA,9
GO_Biological_Process_2023,Regulation Of Protein Catabolic Process (GO:0042176),3/122,0.0233355709159096,0.1888423461935502,0,0,5.141037858442346,19.318870909741264,EEF1A1;UBB;APOE,9
GO_Biological_Process_2023,"Establishment Of Mitochondrion Localization, Microtubule-Mediated (GO:0034643)",1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,UBB,9
GO_Biological_Process_2023,Negative Regulation Of Protein Polyubiquitination (GO:1902915),1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,PPIA,9
GO_Biological_Process_2023,Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway (GO:0007191),1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,GNAS,9
GO_Biological_Process_2023,Lipoprotein Metabolic Process (GO:0042157),1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,APOE,9
GO_Biological_Process_2023,Regulation Of Transmission Of Nerve Impulse (GO:0051969),1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,HCRT,9
GO_Biological_Process_2023,"Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:1902162)",1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,RPL26,9
GO_Biological_Process_2023,Regulation Of Blood Vessel Remodeling (GO:0060312),1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,CST3,9
GO_Biological_Process_2023,Embryonic Brain Development (GO:1990403),1/5,0.0247535287182936,0.1888423461935502,0,0,50.24242424242424,185.83603697375267,RPL10,9
GO_Biological_Process_2023,Erythrocyte Differentiation (GO:0030218),2/49,0.0249911884332231,0.1888423461935502,0,0,8.620495006513243,31.803005852102093,RPS14;RPS19,9
GO_Biological_Process_2023,Antibacterial Humoral Response (GO:0019731),2/49,0.0249911884332231,0.1888423461935502,0,0,8.620495006513243,31.803005852102093,FAU;RPL39,9
GO_Biological_Process_2023,Negative Regulation Of Cell Projection Organization (GO:0031345),2/50,0.025948961945953,0.1888423461935502,0,0,8.44047619047619,30.82144266223132,APOE;MT3,9
GO_Biological_Process_2023,Negative Regulation Of Gene Expression (GO:0010629),5/336,0.0267993805727423,0.1888423461935502,0,0,3.111623469550008,11.262136877130688,RPS26;RPS3;APOE;GAPDH;RPS13,9
GO_Biological_Process_2023,Negative Regulation Of MAP Kinase Activity (GO:0043407),2/51,0.0269214810715392,0.1888423461935502,0,0,8.26780508121616,29.886716110404755,UCHL1;APOE,9
GO_Biological_Process_2023,Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),2/53,0.0289100845392208,0.1888423461935502,0,0,7.942777110844338,28.14574537420548,UBB;APOE,9
GO_Biological_Process_2023,Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117),2/53,0.0289100845392208,0.1888423461935502,0,0,7.942777110844338,28.14574537420548,CST3;MT3,9
GO_Biological_Process_2023,Regulation Of Cellular Response To Hypoxia (GO:1900037),1/6,0.0296309633944118,0.1888423461935502,0,0,40.19191919191919,141.432767389918,CHCHD2,9
GO_Biological_Process_2023,Sterol Catabolic Process (GO:0016127),1/6,0.0296309633944118,0.1888423461935502,0,0,40.19191919191919,141.432767389918,APOE,9
GO_Biological_Process_2023,Glucan Catabolic Process (GO:0009251),1/6,0.0296309633944118,0.1888423461935502,0,0,40.19191919191919,141.432767389918,GAA,9
GO_Biological_Process_2023,Glycogen Catabolic Process (GO:0005980),1/6,0.0296309633944118,0.1888423461935502,0,0,40.19191919191919,141.432767389918,GAA,9
GO_Biological_Process_2023,Positive Regulation Of Necrotic Cell Death (GO:0010940),1/6,0.0296309633944118,0.1888423461935502,0,0,40.19191919191919,141.432767389918,MT3,9
GO_Biological_Process_2023,Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303),1/6,0.0296309633944118,0.1888423461935502,0,0,40.19191919191919,141.432767389918,PPIA,9
