Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),60/93,1.5650672746082494e-123,8.592219337599287e-121,0,0,903.0454545454544,255354.19716181955,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),54/93,2.2109213072242667e-106,1.4039350300874094e-103,0,0,597.8227424749164,145438.68178854606,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPL18A;RPS19;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPL21;RPS7;RPS8;RPS5;RPSA;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),60/158,2.0528694933826936e-104,5.635126759335494e-102,0,0,303.09183673469386,72363.05814923604,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),61/183,4.0442853494696096e-102,7.401042189529387e-100,0,0,253.56410256410257,59198.69176081695,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;APOE;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Translation (GO:0006412),61/234,1.8406706094621943e-94,2.5263204114868617e-92,0,0,178.35289758411145,38494.41753983321,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),54/158,6.100380478408251e-90,1.93687080189462e-87,0,0,223.44983277591973,45902.02709791984,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),55/183,4.25661983046931e-88,9.009845307826706e-86,0,0,188.79513888888889,37981.61966408395,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;APOE;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Gene Expression (GO:0010467),60/296,2.4546720751654892e-85,2.6952299385317077e-83,0,0,124.98305084745763,24349.4154024198,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,9
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),46/93,4.2637964229629787e-85,3.031559256726678e-82,0,0,359.8258471237195,69903.21366140683,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPL18A;RPS19;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPL39;RPS10;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Translation (GO:0006412),55/234,2.463494421830449e-81,3.9107973946558376e-79,0,0,134.65611421477342,24993.2266906006,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23,10
