,I,pval_norm,var_norm,pval_norm_fdr_bh
Mbp,0.7883319203229961,0.0,0.00013073339,0.0
Slc17a7,0.7752640495694558,0.0,0.00013073339,0.0
Nrgn,0.7432754438188457,0.0,0.00013073339,0.0
Cck,0.727492376754357,0.0,0.00013073339,0.0
Itpka,0.6979894981842566,0.0,0.00013073339,0.0
Mobp,0.6961809105710851,0.0,0.00013073339,0.0
Camk2n1,0.694697815304736,0.0,0.00013073339,0.0
Plp1,0.6894777516994925,0.0,0.00013073339,0.0
Baiap3,0.6890793827733557,0.0,0.00013073339,0.0
Ddn,0.6814640061191043,0.0,0.00013073339,0.0
Agt,0.6778615556813243,0.0,0.00013073339,0.0
Hcrt,0.6740765082577794,0.0,0.00013073339,0.0
Gal,0.671773026670337,0.0,0.00013073339,0.0
Tcf7l2,0.6668370752234885,0.0,0.00013073339,0.0
Agrp,0.6618434134433796,0.0,0.00013073339,0.0
Fezf1,0.6615502703876329,0.0,0.00013073339,0.0
Prkcd,0.6613114225559996,0.0,0.00013073339,0.0
Ttr,0.6545902826754995,0.0,0.00013073339,0.0
Shox2,0.6511924200090375,0.0,0.00013073339,0.0
Olfm1,0.6450544950488607,0.0,0.00013073339,0.0
Tnnt1,0.634177531016913,0.0,0.00013073339,0.0
Pmch,0.6292306499915433,0.0,0.00013073339,0.0
Ptgds,0.6257207874095136,0.0,0.00013073339,0.0
Slc30a3,0.6202894742600823,0.0,0.00013073339,0.0
Trf,0.612684882933168,0.0,0.00013073339,0.0
Arhgap36,0.610600390842981,0.0,0.00013073339,0.0
Gpx3,0.6086766431018221,0.0,0.00013073339,0.0
Psd,0.6053480768918157,0.0,0.00013073339,0.0
Scd2,0.6046957871877503,0.0,0.00013073339,0.0
Cnp,0.6039868468548463,0.0,0.00013073339,0.0
Mal,0.5999018668945058,0.0,0.00013073339,0.0
Dbi,0.5998045572920963,0.0,0.00013073339,0.0
AW551984,0.5967506388796251,0.0,0.00013073339,0.0
Camk2a,0.5965658229063441,0.0,0.00013073339,0.0
Synpo2,0.5962767093966207,0.0,0.00013073339,0.0
Tbr1,0.5913469057051363,0.0,0.00013073339,0.0
Cldn11,0.5893275156110023,0.0,0.00013073339,0.0
Dlk1,0.5882138385126178,0.0,0.00013073339,0.0
Icam5,0.5882019342059075,0.0,0.00013073339,0.0
Stx1a,0.586634912205916,0.0,0.00013073339,0.0
Nov,0.5864650139527152,0.0,0.00013073339,0.0
Plekhb1,0.5839244767940371,0.0,0.00013073339,0.0
Defb11,0.5819698859630058,0.0,0.00013073339,0.0
Calb2,0.5804681873336682,0.0,0.00013073339,0.0
Irs4,0.5798642597120303,0.0,0.00013073339,0.0
Nptxr,0.5790885300607866,0.0,0.00013073339,0.0
Ctxn1,0.5790000663478091,0.0,0.00013073339,0.0
Zic1,0.5769806822411626,0.0,0.00013073339,0.0
Ppp3ca,0.5768758376413037,0.0,0.00013073339,0.0
