group,names,scores,logfoldchanges,pvals,pvals_adj
13,mt-Co2,3.273235,inf,0.0010632397767337055,0.007479085090969621
8,mt-Co2,7.2327847,inf,4.731895639787506e-13,1.316049375016593e-11
9,mt-Co2,7.375254,inf,1.6403177787790148e-13,1.9230651624362532e-12
8,mt-Co1,9.295956,inf,1.4588936023313858e-20,8.480346798375174e-19
4,mt-Co1,3.9458752,inf,7.950904134863799e-05,0.0006623799306454735
9,mt-Co1,5.5877023,inf,2.300933749420955e-08,1.61288407607724e-07
0,mt-Co1,5.2240686,inf,1.750337106283136e-07,2.5820811349268855e-06
4,Ttr,16.312098,inf,8.096507597471329e-60,1.4636866434708666e-55
4,mt-Co2,4.591223,inf,4.406569101828206e-06,5.24258349325136e-05
5,Hbb-bs,7.8262906,inf,5.024759873829976e-15,1.0686777529305682e-12
10,mt-Co1,9.355327,inf,8.334189790511498e-21,3.833727303635289e-19
0,mt-Co2,8.488344,inf,2.09601297738025e-17,9.945334017081406e-16
14,mt-Co1,2.4631617,inf,0.01377178063593186,0.048352350036196576
10,mt-Co2,10.29663,inf,7.297306177459806e-25,5.362630125045462e-23
5,Ptgds,12.454334,884.68005,1.3245142208185015e-35,2.394456808395687e-31
6,Plp1,24.33003,526.03436,9.433588122465062e-131,5.684680202597446e-127
6,Mbp,24.759747,477.48956,2.4346972883412303e-135,4.4014457578632757e-131
5,Hba-a1,8.2112875,457.70917,2.1882863584636226e-16,5.993915270955358e-14
9,Pmch,18.688862,377.55136,6.100051091656152e-78,2.2055344726991981e-75
6,Fth1,23.089697,373.44333,5.876501739925636e-118,6.639712403398478e-115
7,Mbp,4.99052,369.41895,6.02170365914588e-07,0.0001471085929054584
5,Hba-a2,7.847319,330.08084,4.25024147335762e-15,9.257333175344464e-13
7,Plp1,4.565803,311.75095,4.975859752633615e-06,0.0007082960047882716
7,Fth1,4.7688184,287.362,1.8530963105471734e-06,0.0003284340696281549
4,Enpp2,12.821691,276.31223,1.2396723499747216e-37,4.482159348568604e-34
10,mt-Cytb,10.466338,266.4475,1.2332182699103873e-25,9.908497725973325e-24
10,mt-Nd4,10.513732,196.30594,7.467841168910661e-26,6.0539745583662304e-24
10,mt-Nd1,8.952127,184.51672,3.4869530127666645e-19,1.3132736784332451e-17
5,Hbb-bt,7.466275,180.51013,8.24966533241325e-14,1.462131861562419e-11
4,mt-Cytb,6.5108232,160.54865,7.47400414222494e-11,2.868684647200477e-09
9,mt-Cytb,8.995483,154.16602,2.351950370900959e-19,4.325387467461601e-18
3,Plp1,12.324188,133.83559,6.711583135119736e-35,8.088799994446306e-32
10,mt-Nd2,10.280305,132.49345,8.645392097143767e-25,6.27676298522751e-23
10,Rplp1,14.329758,129.13655,1.426181944289268e-46,2.343865198987399e-43
7,Hbb-bs,3.7549093,127.562325,0.00017340433252627878,0.010809667322103683
3,Mbp,12.8816185,126.906296,5.71250050598135e-38,8.605882012260903e-35
6,Mobp,24.649693,125.10736,3.7081071763057313e-134,3.35175807666275e-130
9,mt-Nd1,7.602221,113.10026,2.910908273132844e-14,3.674818419112818e-13
10,mt-Nd3,10.823029,107.02964,2.677799691309809e-27,2.4084210357959562e-25
12,Pcp4,22.369257,101.66761,7.843169475448904e-111,8.340518692774429e-108
9,Rps21,18.654171,98.570496,1.1680025431473058e-77,4.060605764426345e-75
4,mt-Nd4,5.3811007,98.5406,7.403186620654912e-08,1.4192450448377465e-06
5,Apoe,9.282837,98.31879,1.6502428923378242e-20,8.286969724356441e-18
9,Pcsk1n,16.43394,96.568794,1.0931959119367718e-60,1.6067313573978016e-58
7,Dbi,5.512365,96.47974,3.5404423197845505e-08,2.793655045186937e-05
9,Rplp1,15.653929,96.375565,3.1232957066916906e-55,3.764195985704826e-53
4,Rplp1,11.245051,95.709885,2.4495415806843304e-29,3.406370207354717e-26
7,Mobp,4.946919,95.470726,7.5397275424037e-07,0.0001703789931394676
4,Fth1,7.5888333,89.42704,3.227984625978245e-14,2.401461155079618e-12
9,Rpl21,18.70904,87.82399,4.1783544619677286e-78,1.5736727492385956e-75
1,Camk2n1,16.86146,87.506325,8.64265479479652e-64,1.1160136670023678e-60
9,Cst3,13.949476,86.75363,3.169241901633424e-44,2.512875223584607e-42
4,Rpl41,10.903085,84.91792,1.1141476316932774e-27,1.1189756047639483e-24
3,Fth1,9.403177,84.770256,5.293966031641824e-21,9.29168135145834e-19
0,mt-Cytb,7.895934,84.59074,2.881493192019534e-15,1.1299703671437992e-13
11,Hpca,13.719348,83.94311,7.776188078762481e-43,5.857413670327839e-40
4,mt-Nd1,4.2338085,83.37313,2.2976651958255575e-05,0.00022428289098344725
10,Rpl41,13.334859,83.05009,1.4512989023148382e-40,5.247316311209529e-38
10,Cst3,12.992342,81.5406,1.3522483238327154e-38,3.5949919409187985e-36
6,Cnp,24.255932,79.249344,5.724729401534766e-130,2.06983316241891e-126
8,mt-Nd1,8.586163,77.82409,8.992268433596418e-18,4.033802202048537e-16
8,Camk2n1,19.287731,75.448524,6.809718500546974e-83,6.15530455264441e-79
6,Mal,24.295736,72.506714,2.174648734882788e-130,9.828324957302759e-127
8,Nrgn,16.869184,71.3138,7.583542064967711e-64,1.1424606120873856e-60
13,Nrgn,7.9781795,70.5587,1.4850754873791216e-15,2.6320779079254667e-13
0,mt-Nd1,6.7082644,68.610214,1.9695273082408284e-11,5.064738930067952e-10
8,Snap25,17.585548,67.96791,3.1789379580947355e-69,5.746884040643664e-66
7,Clu,5.2807364,67.77805,1.2866567056201556e-07,5.680063850219329e-05
1,Nrgn,12.842345,67.11519,9.495391023208259e-38,3.4331535783511777e-35
8,mt-Cytb,7.0525494,65.75136,1.7566918966099737e-12,4.622631165489826e-11
7,Mt1,5.1168447,65.51355,3.1068906784948944e-07,9.63524336028166e-05
13,mt-Nd1,3.5199635,64.31809,0.00043160606159229345,0.0034953383667051382
13,Rtn1,9.086105,62.21846,1.0265026669840407e-19,7.732131339057286e-17
5,Apod,10.699177,62.085396,1.0268610988765548e-26,1.237572996366024e-23
7,Mt3,4.7600594,62.052986,1.9353606504897815e-06,0.00033968397902479875
7,Mal,4.9786463,61.529945,6.403050550146325e-07,0.00015338402984844347
13,Gapdh,6.605993,59.950836,3.9486149725470424e-11,2.059525531362494e-09
13,mt-Cytb,2.9963179,59.609806,0.002732614913085469,0.016538403883079717
11,Nrgn,6.350288,59.042065,2.1491200531466664e-10,4.191131857689907e-09
0,mt-Nd4,6.8033357,58.35499,1.0222399187489204e-11,2.705717899142457e-10
13,Cck,9.58649,57.545242,9.113313302634486e-22,1.3374171923960678e-18
6,Ptgds,18.269995,56.67713,1.434641973481333e-74,1.3032893264620873e-72
6,Trf,23.250883,56.254234,1.3935522082081997e-119,1.937895139999064e-116
0,Olfm1,17.53436,54.874237,7.832554835902782e-69,1.769961579043131e-65
14,Nrgn,12.693582,53.217438,6.4181983623287344e-37,1.0548017272198077e-34
5,Atp1a2,10.350854,52.40804,4.147691294741946e-25,3.5705696774449956e-22
13,Calm1,7.748983,52.24385,9.263161976982983e-15,1.2881495555376796e-12
13,Camk2n1,8.382865,51.98908,5.1654608859199754e-17,1.5563533649276888e-14
13,Aldoa,7.662179,50.76845,1.8280490457985213e-14,2.2741035808912775e-12
11,Ppp3ca,3.6874094,50.65569,0.00022654869608404064,0.0013241138491030804
8,mt-Nd4,6.364653,50.386715,1.9573174483661808e-10,3.962417114396844e-09
14,Snap25,12.729499,49.83477,4.054352654898109e-37,6.724274063784222e-35
8,mt-Nd2,7.926295,49.120674,2.2578163582074346e-15,7.910233357301164e-14
6,Mag,23.722155,47.25838,2.1303217177986726e-124,4.797406307626575e-121
6,Cldn11,24.17138,45.724655,4.450476826629475e-129,1.3409286678634608e-125
14,Gapdh,10.139097,43.049244,3.705067708809582e-24,2.188895883655543e-22
14,Aldoa,13.340683,42.723312,1.3422363149575239e-40,2.9591400124148924e-38
12,Prkcd,25.676516,42.474808,2.1387304099417583e-145,3.86639683509271e-141
0,mt-Nd2,6.9404874,42.1376,3.907499548895818e-12,1.0918048971397002e-10
14,Calm2,12.343372,39.870155,5.289323249401565e-35,7.588919500212816e-33
0,mt-Nd3,8.650728,39.731564,5.117193267608603e-18,2.56968388588412e-16
2,Uchl1,9.484762,38.234146,2.4293731217898247e-21,3.4855720075965435e-19
14,Tmsb4x,12.385971,37.89031,3.112946326525474e-35,4.5229494367367765e-33
0,Nptxr,22.363102,37.56287,9.003405964759905e-111,1.6276357303092956e-106
3,Mobp,13.033704,37.54367,7.869328219381578e-39,1.4325187929799828e-35
14,Calm1,10.829447,37.03889,2.496578249383416e-27,2.0059174041045952e-25
