group,names,scores,logfoldchanges,pvals,pvals_adj
0,Nptxr,22.363102,37.56287,9.003405964759905e-111,1.6276357303092956e-106
0,Lmo3,19.967625,9.529902,1.0534495238339726e-88,9.522130245935277e-85
0,Slc30a3,19.817636,10.72949,2.0972858426368752e-87,1.263824448772981e-83
0,Lypd1,19.491226,22.18259,1.3032286832399011e-84,5.889942033902732e-81
0,Nov,19.342642,7.798397,2.3511823421158498e-83,8.500934876154067e-80
0,Hpcal1,19.232367,10.550858,1.9836611766805774e-82,5.97677112533858e-79
0,Ddn,18.326221,9.695682,5.112161241031581e-75,1.3202521559338416e-71
0,Olfm1,17.53436,54.874237,7.832554835902782e-69,1.769961579043131e-65
0,Hpcal4,17.170443,11.017084,4.4204016924618403e-66,8.879113532925016e-63
0,Syn2,17.121622,16.825644,1.0238104565724774e-65,1.8508445433917248e-62
1,Lamp5,17.176756,11.056494,3.964700806090753e-66,6.515805561137149e-63
1,Camk2n1,16.86146,87.506325,8.64265479479652e-64,1.1160136670023678e-60
1,Igfbp6,15.898089,5.66297,6.532728204929068e-57,6.215718973089879e-54
1,Camk2a,15.085254,16.750011,2.0249467043874467e-51,1.591608109648533e-48
1,Mef2c,14.880914,12.629369,4.384678791662126e-50,3.1706489278267164e-47
1,Epop,14.799013,3.8787413,1.4864807579763426e-49,1.0335615054883201e-46
1,Kcnh3,13.81024,3.664191,2.2109320273393594e-43,1.1755655644188512e-40
1,Rasgrf2,13.38612,4.919924,7.289019598030044e-41,3.3787409305945414e-38
1,Dact2,13.17182,3.22212,1.2748690199733605e-39,5.12157380957298e-37
1,Cplx2,12.938078,8.096862,2.7441005559444457e-38,1.0554861670290147e-35
2,Tcf7l2,19.787878,13.839264,3.7864789906703003e-87,6.845196719333769e-83
2,Cbln4,17.697813,11.694088,4.359149393942072e-70,3.9402351371842387e-66
2,Slc17a6,17.371597,9.574357,1.3540234849407208e-67,8.159345520252783e-64
2,Cbln1,17.22205,16.030102,1.8144431407750413e-66,8.200375774732798e-63
2,Slc6a11,16.392517,7.0543313,2.1629903144643043e-60,7.820507780977139e-57
2,Agt,16.349457,11.885225,4.3887967197024136e-60,1.322344451646337e-56
2,Cbln2,15.761085,6.417235,5.76355752077683e-56,1.4884798980086219e-52
2,Ctxn3,15.619508,13.741223,5.361806794101207e-55,1.2116342902970202e-51
2,Sparc,15.144913,21.2866,8.186372402860689e-52,1.644369336654617e-48
2,Calb2,15.091159,16.03882,1.8516135408796312e-51,3.3473469592021974e-48
3,Mobp,13.033704,37.54367,7.869328219381578e-39,1.4325187929799828e-35
3,Qdpr,12.994198,14.356854,1.31984397945151e-38,2.1691035873204e-35
3,Mbp,12.8816185,126.906296,5.71250050598135e-38,8.605882012260903e-35
3,Hcn2,12.699786,9.516751,5.929134144382893e-37,8.245145158627226e-34
3,Plekhb1,12.419895,11.629154,2.0382732296938776e-35,2.631993103314708e-32
3,Plp1,12.324188,133.83559,6.711583135119736e-35,8.088799994446306e-32
3,Bcas1,11.818433,4.9575872,3.13476391292202e-32,2.6985839056097276e-29
3,Trf,11.769522,15.721221,5.604154602979807e-32,4.605086677848589e-29
3,Cnp,11.542069,17.830217,8.095356328315634e-31,6.0978271543037515e-28
3,Agt,11.443658,7.5217834,2.5298837580551888e-30,1.7590476376200655e-27
4,Ttr,16.312098,inf,8.096507597471329e-60,1.4636866434708666e-55
4,Ppp1r1b,16.269136,33.332596,1.6344907193208867e-59,1.4774161611941495e-55
4,Penk,14.403236,50.526325,4.937604758448242e-47,2.9754006274409104e-43
4,Id4,13.212188,9.571099,7.462352019531481e-40,3.3726099952272525e-36
4,Enpp2,12.821691,276.31223,1.2396723499747216e-37,4.482159348568604e-34
4,Gpr88,12.371526,13.448877,3.7267531320648154e-35,1.1228707186911288e-31
4,Adora2a,12.281426,11.107408,1.1397127688055515e-34,2.9433896334952516e-31
4,Pcp4l1,12.074377,12.194255,1.4425331570335464e-33,3.259764301606556e-30
4,Col9a3,11.933427,12.411289,7.92432448028133e-33,1.5917326439391765e-29
4,Clic6,11.591659,17.960619,4.542491009228508e-31,8.211915246483297e-28
5,Ptgds,12.454334,884.68005,1.3245142208185015e-35,2.394456808395687e-31
5,Mgp,12.328414,33.562016,6.368830248266985e-35,5.756785661408527e-31
5,Slc6a13,12.169183,8.87171,4.5360237247161985e-34,2.733407896513981e-30
5,Col1a2,11.900265,8.941084,1.1797230038263632e-32,5.331758115793248e-29
5,Dcn,11.529903,10.466721,9.324824305015443e-31,3.371483475721384e-27
5,Myoc,11.413235,13.072644,3.591199938709746e-30,1.0820285415332465e-26
5,Slc6a20a,11.286893,8.828314,1.5232605780782804e-29,3.9339292472141646e-26
5,Col1a1,11.031602,7.271891,2.6902895301897185e-28,6.079381765846216e-25
5,Vim,11.012003,12.490756,3.3448259475585973e-28,6.718640386662702e-25
5,Islr,10.963721,7.3688865,5.710229297548922e-28,1.0322952524108942e-24
6,Mbp,24.759747,477.48956,2.4346972883412303e-135,4.4014457578632757e-131
6,Mobp,24.649693,125.10736,3.7081071763057313e-134,3.35175807666275e-130
6,Plp1,24.33003,526.03436,9.433588122465062e-131,5.684680202597446e-127
6,Mal,24.295736,72.506714,2.174648734882788e-130,9.828324957302759e-127
6,Cnp,24.255932,79.249344,5.724729401534766e-130,2.06983316241891e-126
6,Cldn11,24.17138,45.724655,4.450476826629475e-129,1.3409286678634608e-125
6,Mog,23.838858,26.350508,1.321447024339781e-125,3.4127313294306517e-122
6,Mag,23.722155,47.25838,2.1303217177986726e-124,4.797406307626575e-121
6,Plekhb1,23.717342,32.592667,2.388353621453655e-124,4.797406307626575e-121
6,Tspan2,23.591936,21.860407,4.663455821553783e-123,8.43059543420493e-120
7,Ccdc153,5.6834583,23.667147,1.3199793761274853e-08,2.793655045186937e-05
7,Ak7,5.660101,8.750503,1.512841090089498e-08,2.793655045186937e-05
